Movie,vote_average,revenue,,,,,,,,,,,
Toy Story,7.7,373554033,,,,vote_average,revenue,,,,,,
Braindead,7.4,242623,,,,,,,,,,,
Glory,7.4,26828365,,,,,,,,,,,
Manhattan,7.8,39946780,,,,,,,,,,,
Miller's Crossing,7.5,5080409,,,,,,,,,,,
Dead Poets Society,8.1,235860116,,,,,,,,,,,
The Graduate,7.6,104945305,,,,,,,,,,,
Touch of Evil,7.6,2247465,,,,,,,,,,,
The Bridge on the River Kwai,7.7,27200000,,,,,,,,,,,
Chinatown,7.9,30000000,,,,,,,,,,,
The Treasure of the Sierra Madre,7.9,4307000,,,,,,,,,,,
Better Off Dead...,6.8,10297601,,,,,,,,,,,
The Shining,8.1,44017374,,,,,,,,,,,
Stand by Me,7.8,52287414,,,,,,,,,,,
Evil Dead II,7.5,5923044,,,,,,,,,,,
The Great Escape,7.8,11744471,,,,,,,,,,,
The Deer Hunter,7.8,50000000,,,,,,,,,,,
Groundhog Day,7.4,70906973,,,,,,,,,,,
Unforgiven,7.7,159157447,,,,,,,,,,,
The Manchurian Candidate,7.7,96105910,,,,,,,,,,,
Pump up the Volume,7,11541758,,,,,,,,,,,
Back to the Future,8,381109762,,,,,,,,,,,
Fried Green Tomatoes,7.6,119418501,,,,,,,,,,,
Patton,7.3,89800000,,,,,,,,,,,
Highlander,6.8,5900000,,,,,,,,,,,
Cool Hand Luke,7.7,16217773,,,,,,,,,,,
Young Frankenstein,7.7,86273333,,,,,,,,,,,
Night on Earth,7.5,2015810,,,,,,,,,,,
The Great Dictator,8.1,11000000,,,,,,,,,,,
Fantasia,7.2,83320000,,,,,,,,,,,
High Noon,7.6,8000000,,,,,,,,,,,
Heathers,7.3,1108462,,,,,,,,,,,
Ben-Hur,7.5,146900000,,,,,,,,,,,
This Is Spinal Tap,7.6,4736202,,,,,,,,,,,
Koyaanisqatsi,7.7,1723872,,,,,,,,,,,
Some Kind of Wonderful,6.9,18553948,,,,,,,,,,,
Indiana Jones and the Last Crusade,7.6,474171806,,,,,,,,,,,
Being There,7.7,30177511,,,,,,,,,,,
Gandhi,7.4,77737889,,,,,,,,,,,
The Unbearable Lightness of Being,7,10006806,,,,,,,,,,,
A Room with a View,6.9,20966644,,,,,,,,,,,
Real Genius,6.6,13000000,,,,,,,,,,,
Pink Floyd: The Wall,7.7,22244207,,,,,,,,,,,
The Killing Fields,7.5,34700291,,,,,,,,,,,
Forbidden Planet,7.2,3250000,,,,,,,,,,,
Field of Dreams,7.1,84431625,,,,,,,,,,,
Butch Cassidy and the Sundance Kid,7.4,102308889,,,,,,,,,,,
"Paris, Texas",7.7,2181987,,,,,,,,,,,
When Harry Met Sally...,7.3,92823546,,,,,,,,,,,
Alien³,6.2,159773545,,,,,,,,,,,
An American Werewolf in London,7.2,31973249,,,,,,,,,,,
Amityville 3-D,4,6333135,,,,,,,,,,,
Amityville II: The Possession,5.9,12534817,,,,,,,,,,,
The Amityville Horror,6.2,86432000,,,,,,,,,,,
The Believers,6.2,18753438,,,,,,,,,,,
The Birds,7.3,11403529,,,,,,,,,,,
Dracula,7.1,215862692,,,,,,,,,,,
Candyman,6.2,25792310,,,,,,,,,,,
Cape Fear,7,182300000,,,,,,,,,,,
Cape Fear,7,182300000,,,,,,,,,,,
Carrie,7,33800000,,,,,,,,,,,
A Nightmare on Elm Street,7.2,25504513,,,,,,,,,,,
The Omen,7.2,60922980,,,,,,,,,,,
Breaking the Waves,7.2,3803298,,,,,,,,,,,
Nightwatch,6.2,1179002,,,,,,,,,,,
Star Trek: First Contact,7,150000000,,,,,,,,,,,
Sling Blade,7.4,24444121,,,,,,,,,,,
Jingle All the Way,5.5,129832389,,,,,,,,,,,
The Preacher's Wife,5.4,48093211,,,,,,,,,,,
Ridicule,7.4,2503829,,,,,,,,,,,
101 Dalmatians,5.6,320689294,,,,,,,,,,,
Die Hard 2,6.6,240031094,,,,,,,,,,,
Star Trek: The Motion Picture,6.2,139000000,,,,,,,,,,,
Star Trek VI: The Undiscovered Country,6.7,96900000,,,,,,,,,,,
Star Trek V: The Final Frontier,5.6,70200000,,,,,,,,,,,
Star Trek II: The Wrath of Khan,7.3,96800000,,,,,,,,,,,
Star Trek III: The Search for Spock,6.4,87000000,,,,,,,,,,,
Star Trek IV: The Voyage Home,6.9,133000000,,,,,,,,,,,
Batman Returns,6.6,280000000,,,,,,,,,,,
Young Guns,6.6,44726644,,,,,,,,,,,
Grease,7.2,181813770,,,,,,,,,,,
Grease 2,4.9,15171476,,,,,,,,,,,
Marked for Death,5.6,46044400,,,,,,,,,,,
Under Siege,6.1,156563139,,,,,,,,,,,
Jaws,7.5,470654000,,,,,,,,,,,
Jaws 2,5.9,187884007,,,,,,,,,,,
Jaws 3-D,4.2,87987055,,,,,,,,,,,
Mars Attacks!,6.1,101371017,,,,,,,,,,,
Citizen Ruth,6.8,153155,,,,,,,,,,,
Jerry Maguire,6.7,273552592,,,,,,,,,,,
Raising Arizona,7.2,29180280,,,,,,,,,,,
Sneakers,6.7,105232691,,,,,,,,,,,
Marvin's Room,6.6,12803305,,,,,,,,,,,
Scream,7,173046663,,,,,,,,,,,
The Last of the Mohicans,7.1,75505856,,,,,,,,,,,
Michael,5.5,119718203,,,,,,,,,,,
Evita,5.9,141047179,,,,,,,,,,,
The Portrait of a Lady,6.3,3692836,,,,,,,,,,,
Murder at 1600,5.8,25804707,,,,,,,,,,,
Fierce Creatures,6,9381260,,,,,,,,,,,
Turbulence,5.2,11466088,,,,,,,,,,,
Metro,5.3,31987563,,,,,,,,,,,
The Cement Garden,7.2,322975,,,,,,,,,,,
Dante's Peak,5.8,178127760,,,,,,,,,,,
Benny & Joon,6.9,23202734,,,,,,,,,,,
Prefontaine,6.7,589304,,,,,,,,,,,
McHale's Navy,4.4,4529843,,,,,,,,,,,
SubUrbia,6.4,656747,,,,,,,,,,,
Fools Rush In,5.8,29481428,,,,,,,,,,,
Absolute Power,6.4,50068310,,,,,,,,,,,
Vegas Vacation,6,36400360,,,,,,,,,,,
Lost Highway,7.5,3675201,,,,,,,,,,,
Rosewood,6.7,13130349,,,,,,,,,,,
Donnie Brasco,7.4,41954997,,,,,,,,,,,
Booty Call,5.6,20060051,,,,,,,,,,,
Boys Life 2,5,532654,,,,,,,,,,,
Kama Sutra - A Tale of Love,5.7,4109095,,,,,,,,,,,
Private Parts,6.7,41230799,,,,,,,,,,,
The Saint,5.9,118063304,,,,,,,,,,,
Liar Liar,6.4,302710615,,,,,,,,,,,
Selena,7.1,60000000,,,,,,,,,,,
The Devil's Own,5.9,140807547,,,,,,,,,,,
Cats Don't Dance,7.1,3566637,,,,,,,,,,,
B.A.P.S.,4.2,7240837,,,,,,,,,,,
Turbo: A Power Rangers Movie,4.6,17979739,,,,,,,,,,,
Anna Karenina,6.4,791830,,,,,,,,,,,
Inventing the Abbotts,6.4,5926128,,,,,,,,,,,
Anaconda,4.8,136885767,,,,,,,,,,,
Grosse Pointe Blank,6.9,28084357,,,,,,,,,,,
Keys to Tulsa,4.9,57252,,,,,,,,,,,
Romy and Michele's High School Reunion,6,29235353,,,,,,,,,,,
Austin Powers: International Man of Mystery,6.5,67683989,,,,,,,,,,,
Breakdown,6.6,50159144,,,,,,,,,,,
The Fifth Element,7.3,263920180,,,,,,,,,,,
Nowhere,6.3,27354,,,,,,,,,,,
Sprung,5,7553105,,,,,,,,,,,
Love! Valour! Compassion!,5.7,2900000,,,,,,,,,,,
The Second Jungle Book: Mowgli & Baloo,3.2,479099,,,,,,,,,,,
Addicted to Love,6.1,34673095,,,,,,,,,,,
The Lost World: Jurassic Park,6.2,229074524,,,,,,,,,,,
Con Air,6.5,224012234,,,,,,,,,,,
Speed 2: Cruise Control,4.1,164508066,,,,,,,,,,,
Squeeze,6,10300,,,,,,,,,,,
Wedding Bell Blues,5.5,44000,,,,,,,,,,,
Batman & Robin,4.2,238207122,,,,,,,,,,,
Hercules,7.3,252712101,,,,,,,,,,,
My Best Friend's Wedding,6.4,299288605,,,,,,,,,,,
Face/Off,6.8,245676146,,,,,,,,,,,
Men in Black,6.9,589390539,,,,,,,,,,,
A Simple Wish,5.5,8345056,,,,,,,,,,,
Contact,7.2,171120329,,,,,,,,,,,
G.I. Jane,6,48169156,,,,,,,,,,,
Conan the Barbarian,6.6,79114085,,,,,,,,,,,
Cop Land,6.6,44862187,,,,,,,,,,,
Event Horizon,6.4,26673242,,,,,,,,,,,
Spawn,5,87840042,,,,,,,,,,,
Air Bud,5.3,23144499,,,,,,,,,,,
Picture Perfect,5.1,44332015,,,,,,,,,,,
Conspiracy Theory,6.5,136982834,,,,,,,,,,,
Steel,4.2,1686429,,,,,,,,,,,
Mimic,5.7,25480490,,,,,,,,,,,
Air Force One,6.2,315156409,,,,,,,,,,,
One Eight Seven,6.5,5716080,,,,,,,,,,,
The Hunt for Red October,7.2,199200000,,,,,,,,,,,
The Edge,6.8,43312294,,,,,,,,,,,
L.A. Confidential,7.7,126216940,,,,,,,,,,,
Seven Years in Tibet,7,131457682,,,,,,,,,,,
Kiss the Girls,6.2,60527873,,,,,,,,,,,
Wishmaster,5.6,15719109,,,,,,,,,,,
The Game,7.5,109423648,,,,,,,,,,,
Fire Down Below,5,16000000,,,,,,,,,,,
U Turn,6.5,6682098,,,,,,,,,,,
The Locusts,3.8,10082,,,,,,,,,,,
The Ice Storm,6.9,8038061,,,,,,,,,,,
Chasing Amy,6.7,12021272,,,,,,,,,,,
The Full Monty,6.9,257850122,,,,,,,,,,,
I Know What You Did Last Summer,5.6,125586134,,,,,,,,,,,
The Devil's Advocate,7.2,152944660,,,,,,,,,,,
Playing God,5.6,4000000,,,,,,,,,,,
The House of Yes,6.3,626057,,,,,,,,,,,
"Fast, Cheap & Out of Control",8.3,832735,,,,,,,,,,,
Washington Square,7.4,1,,,,,,,,,,,
Gattaca,7.5,12532777,,,,,,,,,,,
FairyTale: A True Story,6.2,14000000,,,,,,,,,,,
Phantoms,5.2,5624282,,,,,,,,,,,
Switchback,5.8,6482195,,,,,,,,,,,
Gang Related,6.5,5790448,,,,,,,,,,,
Stripes,6.5,85300000,,,,,,,,,,,
Bean,6.3,251212670,,,,,,,,,,,
Mad City,5.9,10541523,,,,,,,,,,,
One Night Stand,5.7,2642983,,,,,,,,,,,
The Rainmaker,6.7,45916769,,,,,,,,,,,
Boogie Nights,7.5,43101594,,,,,,,,,,,
Witness,7,68706993,,,,,,,,,,,
Starship Troopers,6.7,121214377,,,,,,,,,,,
The Joy Luck Club,7.1,32861136,,,,,,,,,,,
Sliding Doors,6.6,58000000,,,,,,,,,,,
Mortal Kombat: Annihilation,3.8,51376861,,,,,,,,,,,
The Truman Show,7.8,264118201,,,,,,,,,,,
Mrs. Dalloway,5.4,3309421,,,,,,,,,,,
The Jackal,6.1,159330280,,,,,,,,,,,
Anastasia,7.4,139804348,,,,,,,,,,,
The Man Who Knew Too Little,6.5,13801755,,,,,,,,,,,
Alien: Resurrection,5.9,162000000,,,,,,,,,,,
Amistad,6.8,74000000,,,,,,,,,,,
Deconstructing Harry,7.3,10686841,,,,,,,,,,,
Flubber,5.3,177977226,,,,,,,,,,,
For Richer or Poorer,5.6,31611225,,,,,,,,,,,
Good Will Hunting,7.9,225933435,,,,,,,,,,,
Home Alone 3,5.1,79082515,,,,,,,,,,,
Midnight in the Garden of Good and Evil,6.3,25105255,,,,,,,,,,,
MouseHunt,6.2,122417389,,,,,,,,,,,
Scream 2,6.1,172363301,,,,,,,,,,,
The Sweet Hereafter,6.8,3263585,,,,,,,,,,,
Titanic,7.5,1845034188,,,,,,,,,,,
Tomorrow Never Dies,6,333011068,,,,,,,,,,,
The Horse Whisperer,6.7,186883563,,,,,,,,,,,
Jackie Brown,7.3,39673162,,,,,,,,,,,
Kundun,6.8,5684789,,,,,,,,,,,
The Big Lebowski,7.8,46189568,,,,,,,,,,,
Afterglow,7.2,2465960,,,,,,,,,,,
Great Expectations,6.4,55494066,,,,,,,,,,,
Senseless,5.8,13035599,,,,,,,,,,,
Wag the Dog,6.7,64256513,,,,,,,,,,,
Dark City,7.2,27200316,,,,,,,,,,,
Star Kid,4.9,7,,,,,,,,,,,
Hard Rain,5.5,19870567,,,,,,,,,,,
Half Baked,6.4,17460020,,,,,,,,,,,
Fallen,6.6,25232289,,,,,,,,,,,
Shooting Fish,7,302204,,,,,,,,,,,
Spice World,4.7,100000000,,,,,,,,,,,
Deep Rising,6,11203026,,,,,,,,,,,
The Replacement Killers,6,19204929,,,,,,,,,,,
The Night Flier,5.7,91549,,,,,,,,,,,
Blues Brothers 2000,5.2,14051384,,,,,,,,,,,
The Wedding Singer,6.5,123306987,,,,,,,,,,,
Sphere,5.8,13100000,,,,,,,,,,,
As Good as It Gets,7.2,314178011,,,,,,,,,,,
King of New York,6.5,2554476,,,,,,,,,,,
U.S. Marshals,6.2,102367405,,,,,,,,,,,
Everest,6.3,76447420,,,,,,,,,,,
The Newton Boys,5.9,76000000,,,,,,,,,,,
Wild Things,6.3,67200000,,,,,,,,,,,
"Niagara, Niagara",7.7,168462,,,,,,,,,,,
A Price Above Rubies,5.9,1081957,,,,,,,,,,,
Two Girls and a Guy,5.4,2057193,,,,,,,,,,,
The Object of My Affection,5.6,46905889,,,,,,,,,,,
Meet the Deedles,4.1,4562146,,,,,,,,,,,
Homegrown,5.5,271375,,,,,,,,,,,
The Big One,6.2,720074,,,,,,,,,,,
Lost in Space,5,136159423,,,,,,,,,,,
The Spanish Prisoner,7.1,13835130,,,,,,,,,,,
City of Angels,6.5,198685114,,,,,,,,,,,
My Giant,5.1,7985929,,,,,,,,,,,
He Got Game,6.7,21567853,,,,,,,,,,,
Zero Effect,6,1980338,,,,,,,,,,,
"An Alan Smithee Film: Burn, Hollywood, Burn",3,45779,,,,,,,,,,,
Species II,4.5,19165560,,,,,,,,,,,
Major League: Back to the Minors,4.3,3572443,,,,,,,,,,,
Wild Man Blues,6.2,425788,,,,,,,,,,,
The Big Hit,6.1,27007143,,,,,,,,,,,
"Dancer, Texas Pop. 81",10,565592,,,,,,,,,,,
Les Misérables,7.1,14096321,,,,,,,,,,,
Deep Impact,5.9,140464664,,,,,,,,,,,
Woo,5.5,8026971,,,,,,,,,,,
Quest for Camelot,6.9,38172500,,,,,,,,,,,
Godzilla,5.3,379014294,,,,,,,,,,,
Bulworth,6.3,29202884,,,,,,,,,,,
Fear and Loathing in Las Vegas,7.2,10680275,,,,,,,,,,,
The Opposite of Sex,5.9,5879254,,,,,,,,,,,
A Perfect Murder,6.3,128038368,,,,,,,,,,,
Six Days Seven Nights,5.6,164000000,,,,,,,,,,,
Can't Hardly Wait,6.1,25605015,,,,,,,,,,,
High Art,6.3,1929168,,,,,,,,,,,
Dream for an Insomniac,6.1,24,,,,,,,,,,,
Henry Fool,6.9,1334786,,,,,,,,,,,
Mulan,7.6,304320254,,,,,,,,,,,
The X Files,6.6,189198313,,,,,,,,,,,
Doctor Dolittle,5.4,294456605,,,,,,,,,,,
Out of Sight,6.5,77745568,,,,,,,,,,,
Buffalo '66,7.2,2375097,,,,,,,,,,,
Armageddon,6.5,553799566,,,,,,,,,,,
Lethal Weapon 4,6.3,285444603,,,,,,,,,,,
Small Soldiers,6.2,54682547,,,,,,,,,,,
Pi,7.1,3221152,,,,,,,,,,,
There's Something About Mary,6.5,369884651,,,,,,,,,,,
The Broadway Melody,5,4358000,,,,,,,,,,,
Grand Hotel,6.5,2594000,,,,,,,,,,,
Cavalcade,4.6,7630000,,,,,,,,,,,
Mutiny on the Bounty,7.1,4460000,,,,,,,,,,,
You Can't Take It With You,7.2,7433101,,,,,,,,,,,
How Green Was My Valley,6.9,6000000,,,,,,,,,,,
Mrs. Miniver,6.7,13500000,,,,,,,,,,,
Going My Way,6.9,16300000,,,,,,,,,,,
The Lost Weekend,7.4,11000000,,,,,,,,,,,
The Best Years of Our Lives,7.6,23650000,,,,,,,,,,,
Gentleman's Agreement,6.8,7800000,,,,,,,,,,,
The Greatest Show on Earth,6.6,36000000,,,,,,,,,,,
From Here to Eternity,7.2,30500000,,,,,,,,,,,
On the Waterfront,8,9600000,,,,,,,,,,,
Marty,7.2,3000000,,,,,,,,,,,
West Side Story,7,43656822,,,,,,,,,,,
Tom Jones,6.1,37600000,,,,,,,,,,,
A Man for All Seasons,7.5,28350000,,,,,,,,,,,
In the Heat of the Night,7.5,27379978,,,,,,,,,,,
Oliver!,7,37402877,,,,,,,,,,,
Midnight Cowboy,7.4,44785053,,,,,,,,,,,
The French Connection,7.4,41158757,,,,,,,,,,,
Rocky,7.5,117235147,,,,,,,,,,,
Kramer vs. Kramer,7.4,106260000,,,,,,,,,,,
Chariots of Fire,6.9,58972904,,,,,,,,,,,
Out of Africa,7,128499205,,,,,,,,,,,
The Last Emperor,7.4,43984230,,,,,,,,,,,
Rain Man,7.6,412800000,,,,,,,,,,,
Driving Miss Daisy,7,145793296,,,,,,,,,,,
Repo Man,6.7,2300000,,,,,,,,,,,
Labyrinth,7.1,12729917,,,,,,,,,,,
The Breakfast Club,7.8,51525171,,,,,,,,,,,
A Nightmare on Elm Street Part 2: Freddy's Revenge,5.7,29999213,,,,,,,,,,,
A Nightmare on Elm Street 3: Dream Warriors,6.5,44793222,,,,,,,,,,,
A Nightmare on Elm Street 4: The Dream Master,5.8,72500000,,,,,,,,,,,
A Nightmare on Elm Street 5: The Dream Child,5.5,22168359,,,,,,,,,,,
Freddy's Dead: The Final Nightmare,5.1,34872033,,,,,,,,,,,
Friday the 13th,6.4,59754601,,,,,,,,,,,
Friday the 13th Part 2,6,21722776,,,,,,,,,,,
Friday the 13th Part III,5.7,36690067,,,,,,,,,,,
Friday the 13th: The Final Chapter,5.9,32980880,,,,,,,,,,,
Friday the 13th: A New Beginning,5.1,21930418,,,,,,,,,,,
Friday the 13th Part VI: Jason Lives,5.7,19472057,,,,,,,,,,,
Friday the 13th Part VII: The New Blood,5.3,19170001,,,,,,,,,,,
Friday the 13th Part VIII: Jason Takes Manhattan,4.8,14000000,,,,,,,,,,,
Halloween,7.4,70000000,,,,,,,,,,,
Halloween II,6.4,25533818,,,,,,,,,,,
Halloween III: Season of the Witch,5,14400000,,,,,,,,,,,
Halloween 4: The Return of Michael Myers,5.9,17768757,,,,,,,,,,,
Halloween 5: The Revenge of Michael Myers,5.3,11642254,,,,,,,,,,,
Prom Night,6,14796236,,,,,,,,,,,
Hello Mary Lou: Prom Night II,6,2683519,,,,,,,,,,,
Child's Play,6.3,44196684,,,,,,,,,,,
Child's Play 2,5.8,35763605,,,,,,,,,,,
Child's Play 3,5.5,20560255,,,,,,,,,,,
Poltergeist,7.1,122200000,,,,,,,,,,,
Poltergeist II: The Other Side,5.8,40996665,,,,,,,,,,,
Poltergeist III,4.6,14144000,,,,,,,,,,,
The Exorcist,7.5,441306145,,,,,,,,,,,
Exorcist II: The Heretic,4.5,30749142,,,,,,,,,,,
The Exorcist III,6.1,39024251,,,,,,,,,,,
Lethal Weapon,7,120207127,,,,,,,,,,,
Lethal Weapon 2,6.7,227853986,,,,,,,,,,,
Lethal Weapon 3,6.4,321731527,,,,,,,,,,,
Gremlins,6.9,153083102,,,,,,,,,,,
Gremlins 2: The New Batch,6.3,41482207,,,,,,,,,,,
The Goonies,7.4,61503218,,,,,,,,,,,
The Mask of Zorro,6.3,250288523,,,,,,,,,,,
Soylent Green,6.8,3600000,,,,,,,,,,,
Metropolis,8,650422,,,,,,,,,,,
Back to the Future Part II,7.4,332000000,,,,,,,,,,,
Back to the Future Part III,7.1,244527583,,,,,,,,,,,
The Poseidon Adventure,7.3,84563118,,,,,,,,,,,
Bambi,6.8,267447150,,,,,,,,,,,
Dangerous Liaisons,7.1,34670720,,,,,,,,,,,
Dune,6.5,30925690,,,,,,,,,,,
The Last Temptation of Christ,7,8373585,,,,,,,,,,,
The Godfather: Part III,7.1,136766062,,,,,,,,,,,
The Rapture,6.4,1277401,,,,,,,,,,,
Lolita,7,1060056,,,,,,,,,,,
Disturbing Behavior,5.5,17507368,,,,,,,,,,,
Jane Austen's Mafia!,5.4,19000000,,,,,,,,,,,
Saving Private Ryan,7.9,481840909,,,,,,,,,,,
Billy's Hollywood Screen Kiss,5.2,2020700,,,,,,,,,,,
The Black Cauldron,6.5,21288692,,,,,,,,,,,
The Black Hole,6.1,35841901,,,,,,,,,,,
Cheetah,5.9,8153677,,,,,,,,,,,
D2: The Mighty Ducks,5.8,45610410,,,,,,,,,,,
A Far Off Place,6.3,12890752,,,,,,,,,,,
Flight of the Navigator,6.9,18564613,,,,,,,,,,,
The Great Mouse Detective,6.9,38625550,,,,,,,,,,,
Hocus Pocus,6.5,39514713,,,,,,,,,,,
Honey I Blew Up the Kid,4.8,58662452,,,,,,,,,,,
"Honey, I Shrunk the Kids",6.1,222724172,,,,,,,,,,,
The Negotiator,6.8,44547681,,,,,,,,,,,
BASEketball,5.9,7027290,,,,,,,,,,,
Roger & Me,7.4,6706368,,,,,,,,,,,
The Purple Rose of Cairo,7.3,10631333,,,,,,,,,,,
Doctor Zhivago,7.4,111858363,,,,,,,,,,,
The Trip to Bountiful,7.3,7218340,,,,,,,,,,,
The 'Burbs,6.6,36602000,,,,,,,,,,,
Blue Velvet,7.7,8551228,,,,,,,,,,,
The Journey of Natty Gann,6.4,2135577,,,,,,,,,,,
Lady and the Tramp,6.9,93600000,,,,,,,,,,,
The Little Mermaid,7.2,222300000,,,,,,,,,,,
The Mighty Ducks,6.4,50752337,,,,,,,,,,,
The Muppet Christmas Carol,7.2,27281507,,,,,,,,,,,
One Hundred and One Dalmatians,6.8,215880014,,,,,,,,,,,
Peter Pan,7,87404651,,,,,,,,,,,
The Rescuers Down Under,6.6,47431461,,,,,,,,,,,
The Rescuers,6.7,71215869,,,,,,,,,,,
Return from Witch Mountain,5.6,16393000,,,,,,,,,,,
Return to Oz,6.6,11137801,,,,,,,,,,,
The Rocketeer,6.3,62000000,,,,,,,,,,,
Sleeping Beauty,6.8,51000000,,,,,,,,,,,
Something Wicked This Way Comes,6.6,5656087,,,,,,,,,,,
Splash,6.1,69821334,,,,,,,,,,,
Squanto: A Warrior's Tale,6.1,3337685,,,,,,,,,,,
Tron,6.6,33000000,,,,,,,,,,,
Swing Kids,6.7,5632086,,,,,,,,,,,
Halloween: H20,5.7,55041738,,,,,,,,,,,
The Jerk,7,73961419,,,,,,,,,,,
Dead Men Don't Wear Plaid,6.5,18196170,,,,,,,,,,,
Graveyard Shift,4.5,11582891,,,,,,,,,,,
The Outsiders,6.9,33697647,,,,,,,,,,,
Indiana Jones and the Temple of Doom,7.1,333000000,,,,,,,,,,,
The Lord of the Rings,6.1,30471420,,,,,,,,,,,
The Dead Zone,6.9,20766616,,,,,,,,,,,
Maximum Overdrive,5.5,7433663,,,,,,,,,,,
Cujo,5.7,21200000,,,,,,,,,,,
Children of the Corn,5.6,14000000,,,,,,,,,,,
All Dogs Go to Heaven,6.3,27100027,,,,,,,,,,,
The Addams Family,6.7,191502426,,,,,,,,,,,
Snake Eyes,5.8,103891409,,,,,,,,,,,
"First Love, Last Rites",3,40542,,,,,,,,,,,
Atlantic City,6.7,12729678,,,,,,,,,,,
Who's Afraid of Virginia Woolf?,7.8,33736689,,,,,,,,,,,
Adventures in Babysitting,6.6,34368475,,,,,,,,,,,
Weird Science,6.4,38934048,,,,,,,,,,,
Doctor Dolittle,5.4,294456605,,,,,,,,,,,
The Nutty Professor,5.4,128769345,,,,,,,,,,,
Watership Down,7.3,3713768,,,,,,,,,,,
The Secret of NIMH,7.5,14665733,,,,,,,,,,,
The Dark Crystal,7.3,40577001,,,,,,,,,,,
An American Tail,6.6,84542002,,,,,,,,,,,
An American Tail: Fievel Goes West,6.2,40766041,,,,,,,,,,,
Legend,6.2,15502112,,,,,,,,,,,
Sixteen Candles,6.9,23686027,,,,,,,,,,,
Pretty in Pink,6.6,40471663,,,,,,,,,,,
St. Elmo's Fire,6,37803872,,,,,,,,,,,
House II: The Second Story,5,7800000,,,,,,,,,,,
The Gods Must Be Crazy,7.1,60000000,,,,,,,,,,,
Air Bud: Golden Receiver,4.6,10224116,,,,,,,,,,,
The Avengers,4.4,48585416,,,,,,,,,,,
How Stella Got Her Groove Back,6,37672350,,,,,,,,,,,
Rosemary's Baby,7.5,33395426,,,,,,,,,,,
The Neverending Story,7,20158808,,,,,,,,,,,
The Neverending Story II: The Next Chapter,5.5,16283667,,,,,,,,,,,
Your Friends & Neighbors,5.9,4710749,,,,,,,,,,,
Blade,6.5,131183530,,,,,,,,,,,
Dance with Me,5.6,15,,,,,,,,,,,
Beetlejuice,7.1,73326666,,,,,,,,,,,
Rope,7.8,2200000,,,,,,,,,,,
Family Plot,6.7,7900000,,,,,,,,,,,
Frenzy,7.2,12600000,,,,,,,,,,,
Topaz,6.1,6000000,,,,,,,,,,,
Torn Curtain,6.4,13000000,,,,,,,,,,,
Marnie,7.2,7000000,,,,,,,,,,,
The Wrong Man,6.9,2000000,,,,,,,,,,,
The Man Who Knew Too Much,7.3,10250000,,,,,,,,,,,
The Trouble with Harry,6.9,7000000,,,,,,,,,,,
Strangers on a Train,7.6,7000000,,,,,,,,,,,
54,5.5,16757163,,,,,,,,,,,
I Married a Strange Person!,7.5,203,,,,,,,,,,,
Why Do Fools Fall In Love,6.4,12413650,,,,,,,,,,,
Willow,6.9,57269863,,,,,,,,,,,
The Untouchables,7.6,76270454,,,,,,,,,,,
Suspicion,7.1,4500000,,,,,,,,,,,
The Man Who Knew Too Much,7.3,10250000,,,,,,,,,,,
Rounders,6.9,22921898,,,,,,,,,,,
Cube,6.9,501818,,,,,,,,,,,
Digging to China,6.5,33556,,,,,,,,,,,
Simon Birch,6.5,18253415,,,,,,,,,,,
Without Limits,6.4,777423,,,,,,,,,,,
My Bodyguard,6.2,22482952,,,,,,,,,,,
Broadcast News,6.8,51249404,,,,,,,,,,,
Working Girl,6.5,103173635,,,,,,,,,,,
Married to the Mob,5.8,21486757,,,,,,,,,,,
Say Anything...,7.2,20036737,,,,,,,,,,,
Toys,5,23278931,,,,,,,,,,,
Young Doctors in Love,5.2,30688860,,,,,,,,,,,
Parasite,5.1,7000000,,,,,,,,,,,
Blame It on Rio,5.9,18600000,,,,,,,,,,,
About Last Night...,5.6,38702310,,,,,,,,,,,
The Seventh Sign,5.9,18875011,,,,,,,,,,,
Nothing but Trouble,5,8479793,,,,,,,,,,,
A Few Good Men,7.1,243240178,,,,,,,,,,,
Indecent Proposal,5.8,266614059,,,,,,,,,,,
Rush Hour,6.8,244386864,,,,,,,,,,,
Six-String Samurai,5.8,124494,,,,,,,,,,,
A Soldier's Daughter Never Cries,7,1782005,,,,,,,,,,,
Ronin,6.8,41610884,,,,,,,,,,,
Urban Legend,5.6,72527595,,,,,,,,,,,
The Sheltering Sky,6.4,2075084,,,,,,,,,,,
Bandit Queen,7.1,399,,,,,,,,,,,
If....,7.2,500000,,,,,,,,,,,
The Thing,7.8,19629760,,,,,,,,,,,
The Player,6.9,21706101,,,,,,,,,,,
Stardust Memories,6.9,10389003,,,,,,,,,,,
Edward Scissorhands,7.5,53000000,,,,,,,,,,,
Antz,6,171757863,,,,,,,,,,,
The Impostors,6,2197921,,,,,,,,,,,
A Night at the Roxbury,5.9,30331165,,,,,,,,,,,
What Dreams May Come,6.8,71485043,,,,,,,,,,,
Strangeland,4.7,631221,,,,,,,,,,,
History of the World: Part I,6.5,31672907,,,,,,,,,,,
My Cousin Vinny,7.3,64088552,,,,,,,,,,,
2010,6.6,40400657,,,,,,,,,,,
Children of a Lesser God,6.9,31853080,,,,,,,,,,,
The Elephant Man,7.9,26010864,,,,,,,,,,,
Bride of Chucky,5.5,50671850,,,,,,,,,,,
Practical Magic,6.3,46683377,,,,,,,,,,,
Happiness,7.4,2807390,,,,,,,,,,,
